             Hugoniot for material id: 182
             Zbar =  2.60000E+01 Abar =  5.58470E+01 Rho =  7.96900E+00

      Rho         Pres         Enrgy        Temp          Up           Us
  7.96900E+00  2.04211E+10  1.08668E+09  2.54201E-05
  8.04869E+00  3.99706E+10  1.12419E+09  2.80522E-05  4.92840E+03  4.97768E+05
  8.12918E+00  6.04602E+10  1.18667E+09  3.07526E-05  9.94986E+03  5.04968E+05
  8.21047E+00  8.19434E+10  1.27557E+09  3.35396E-05  1.50682E+04  5.12351E+05
  8.29257E+00  1.04689E+11  1.39297E+09  3.64397E-05  2.03129E+04  5.20581E+05
  8.37550E+00  1.23254E+11  1.52419E+09  3.90260E-05  2.50258E+04  5.15631E+05
  8.45925E+00  1.26794E+11  1.62199E+09  4.03294E-05  2.78137E+04  4.79921E+05
  8.54385E+00  1.26617E+11  1.70739E+09  4.11734E-05  2.99433E+04  4.45043E+05
  8.62929E+00  1.26515E+11  1.79210E+09  4.16676E-05  3.19169E+04  4.17123E+05
  8.71558E+00  1.26491E+11  1.87627E+09  4.17506E-05  3.37663E+04  3.94189E+05
  8.80273E+00  1.37415E+11  2.02463E+09  4.29919E-05  3.72894E+04  3.93709E+05
  8.89076E+00  1.59198E+11  2.25509E+09  4.54216E-05  4.24909E+04  4.09842E+05
  8.97967E+00  1.86527E+11  2.54810E+09  4.82874E-05  4.84356E+04  4.30344E+05
  9.06947E+00  2.15677E+11  2.88411E+09  5.14292E-05  5.45253E+04  4.49369E+05
  9.16016E+00  2.45664E+11  3.25765E+09  5.47501E-05  6.06258E+04  4.66219E+05
  9.25176E+00  2.76848E+11  3.67273E+09  5.83093E-05  6.67945E+04  4.81748E+05
  9.34428E+00  3.09813E+11  4.13621E+09  6.22032E-05  7.31079E+04  4.96728E+05
  9.43772E+00  3.44416E+11  4.64904E+09  6.64281E-05  7.95433E+04  5.11130E+05
  9.53210E+00  3.80782E+11  5.21457E+09  7.10316E-05  8.61124E+04  5.25131E+05
  9.62742E+00  4.19051E+11  5.83654E+09  7.60621E-05  9.28272E+04  5.38878E+05
  9.72369E+00  4.59348E+11  6.51879E+09  8.15650E-05  9.96964E+04  5.52471E+05
  9.82093E+00  5.01680E+11  7.26389E+09  8.75598E-05  1.06715E+05  5.65915E+05
  9.91914E+00  5.46167E+11  8.07584E+09  9.40915E-05  1.13889E+05  5.79282E+05
  1.00183E+01  5.92964E+11  8.95924E+09  1.01214E-04  1.21230E+05  5.92644E+05
  1.01185E+01  6.42230E+11  9.91899E+09  1.08980E-04  1.28747E+05  6.06058E+05
  1.02197E+01  6.93986E+11  1.09584E+10  1.17414E-04  1.36436E+05  6.19510E+05
  1.03219E+01  7.48358E+11  1.20821E+10  1.26567E-04  1.44300E+05  6.33028E+05
  1.04251E+01  8.05530E+11  1.32959E+10  1.36498E-04  1.52352E+05  6.46665E+05
  1.05294E+01  8.65694E+11  1.46060E+10  1.47272E-04  1.60600E+05  6.60460E+05
  1.06347E+01  9.28887E+11  1.60165E+10  1.58914E-04  1.69041E+05  6.74391E+05
  1.07410E+01  9.95266E+11  1.75332E+10  1.71476E-04  1.77681E+05  6.88480E+05
  1.08484E+01  1.06504E+12  1.91634E+10  1.85037E-04  1.86529E+05  7.02763E+05
  1.09569E+01  1.13851E+12  2.09158E+10  1.99684E-04  1.95603E+05  7.17295E+05
  1.10665E+01  1.21529E+12  2.27877E+10  2.15353E-04  2.04860E+05  7.31912E+05
  1.11771E+01  1.29751E+12  2.48212E+10  2.32072E-04  2.14472E+05  7.47218E+05
  1.12889E+01  1.38616E+12  2.70407E+10  2.49393E-04  2.24501E+05  7.63387E+05
  1.14018E+01  1.48258E+12  2.94789E+10  2.66692E-04  2.35035E+05  7.80652E+05
  1.15158E+01  1.58888E+12  3.21857E+10  2.83515E-04  2.46210E+05  7.99396E+05
  1.16310E+01  1.70737E+12  3.52183E+10  2.98955E-04  2.58166E+05  8.19973E+05
  1.17473E+01  1.85476E+12  3.89280E+10  3.05569E-04  2.72092E+05  8.45978E+05
  1.18648E+01  1.99110E+12  4.25270E+10  3.21940E-04  2.84952E+05  8.67840E+05
  1.19834E+01  2.11564E+12  4.59840E+10  3.46363E-04  2.96779E+05  8.85915E+05
  1.21032E+01  2.23711E+12  4.94697E+10  3.73448E-04  3.08246E+05  9.02408E+05
  1.22243E+01  2.38235E+12  5.35653E+10  3.92996E-04  3.21206E+05  9.22740E+05
  1.23465E+01  2.55381E+12  5.83526E+10  4.05804E-04  3.35730E+05  9.46907E+05
  1.24700E+01  2.72656E+12  6.32970E+10  4.26412E-04  3.50101E+05  9.69957E+05
  1.25947E+01  2.88958E+12  6.81442E+10  4.60402E-04  3.63638E+05  9.90105E+05
  1.27206E+01  3.05119E+12  7.30756E+10  5.05717E-04  3.76913E+05  1.00904E+06
  1.28478E+01  3.22243E+12  7.83509E+10  5.51085E-04  3.90618E+05  1.02865E+06
  1.29763E+01  3.39895E+12  8.38744E+10  6.00402E-04  4.04472E+05  1.04818E+06
  1.31061E+01  3.58734E+12  8.98119E+10  6.52737E-04  4.18858E+05  1.06862E+06
  1.32371E+01  3.78429E+12  9.60925E+10  7.07902E-04  4.33557E+05  1.08939E+06
  1.33695E+01  3.99197E+12  1.02779E+11  7.66436E-04  4.48681E+05  1.11076E+06
  1.35032E+01  4.21066E+12  1.09888E+11  8.28448E-04  4.64223E+05  1.13268E+06
  1.36382E+01  4.44093E+12  1.17445E+11  8.94067E-04  4.80195E+05  1.15518E+06
  1.37746E+01  4.68398E+12  1.25492E+11  9.63845E-04  4.96639E+05  1.17834E+06
  1.39124E+01  4.94086E+12  1.34068E+11  1.03795E-03  5.13589E+05  1.20222E+06
  1.40515E+01  5.21246E+12  1.43210E+11  1.11704E-03  5.31063E+05  1.22684E+06
  1.41920E+01  5.50002E+12  1.52965E+11  1.20133E-03  5.49099E+05  1.25226E+06
  1.43339E+01  5.80413E+12  1.63363E+11  1.29102E-03  5.67695E+05  1.27846E+06
  1.44773E+01  6.12685E+12  1.74478E+11  1.38683E-03  5.86923E+05  1.30558E+06
  1.46220E+01  6.47075E+12  1.86398E+11  1.48989E-03  6.06869E+05  1.33378E+06
  1.47682E+01  6.83719E+12  1.99181E+11  1.60060E-03  6.27557E+05  1.36308E+06
  1.49159E+01  7.22708E+12  2.12873E+11  1.71921E-03  6.48988E+05  1.39346E+06
  1.50651E+01  7.64022E+12  2.27488E+11  1.84548E-03  6.71110E+05  1.42477E+06
  1.52157E+01  8.07587E+12  2.43023E+11  1.97893E-03  6.93853E+05  1.45686E+06
  1.53679E+01  8.53620E+12  2.59563E+11  2.12122E-03  7.17277E+05  1.48982E+06
  1.55216E+01  9.02275E+12  2.77174E+11  2.27256E-03  7.41404E+05  1.52369E+06
  1.56768E+01  9.53436E+12  2.95841E+11  2.43210E-03  7.66152E+05  1.55827E+06
  1.58336E+01  1.00712E+13  3.15589E+11  2.59937E-03  7.91491E+05  1.59349E+06
  1.59919E+01  1.06371E+13  3.36555E+11  2.77658E-03  8.17537E+05  1.62958E+06
  1.61518E+01  1.12350E+13  3.58861E+11  2.96496E-03  8.44365E+05  1.66667E+06
  1.63133E+01  1.18647E+13  3.82520E+11  3.16386E-03  8.71920E+05  1.70462E+06
  1.64765E+01  1.25239E+13  4.07483E+11  3.37177E-03  9.00081E+05  1.74319E+06
  1.66412E+01  1.32151E+13  4.33853E+11  3.58938E-03  9.28903E+05  1.78248E+06
  1.68076E+01  1.39436E+13  4.61827E+11  3.81930E-03  9.58533E+05  1.82276E+06
  1.69757E+01  1.47127E+13  4.91543E+11  4.06265E-03  9.89037E+05  1.86412E+06
  1.71455E+01  1.55213E+13  5.22992E+11  4.31828E-03  1.02033E+06  1.90640E+06
  1.73169E+01  1.63662E+13  5.56096E+11  4.58399E-03  1.05226E+06  1.94930E+06
  1.74901E+01  1.72489E+13  5.90930E+11  4.85983E-03  1.08485E+06  1.99285E+06
  1.76650E+01  1.81776E+13  6.27802E+11  5.14937E-03  1.11831E+06  2.03743E+06
  1.78417E+01  1.91577E+13  6.66928E+11  5.45501E-03  1.15276E+06  2.08324E+06
  1.80201E+01  2.01878E+13  7.08300E+11  5.77536E-03  1.18809E+06  2.13008E+06
  1.82003E+01  2.12647E+13  7.51833E+11  6.10734E-03  1.22418E+06  2.17767E+06
  1.83823E+01  2.23811E+13  7.97305E+11  6.44636E-03  1.26077E+06  2.22560E+06
  1.85661E+01  2.35450E+13  8.45017E+11  6.79533E-03  1.29805E+06  2.27418E+06
  1.87518E+01  2.47654E+13  8.95335E+11  7.15906E-03  1.33624E+06  2.32380E+06
  1.89393E+01  2.60439E+13  9.48342E+11  7.53690E-03  1.37533E+06  2.37440E+06
  1.91287E+01  2.73772E+13  1.00396E+12  7.92585E-03  1.41519E+06  2.42576E+06
  1.93200E+01  2.87742E+13  1.06255E+12  8.32899E-03  1.45599E+06  2.47818E+06
  1.95132E+01  3.02309E+13  1.12400E+12  8.74459E-03  1.49760E+06  2.53139E+06
  1.97083E+01  3.16844E+13  1.18599E+12  9.14315E-03  1.53843E+06  2.58276E+06
  1.99054E+01  3.31483E+13  1.24904E+12  9.52907E-03  1.57887E+06  2.63296E+06
  2.01044E+01  3.46412E+13  1.31383E+12  9.91034E-03  1.61938E+06  2.68278E+06
  2.03055E+01  3.61760E+13  1.38087E+12  1.02924E-02  1.66025E+06  2.73273E+06
  2.05085E+01  3.77631E+13  1.45058E+12  1.06792E-02  1.70172E+06  2.78318E+06
  2.07136E+01  3.94115E+13  1.52333E+12  1.10741E-02  1.74394E+06  2.83440E+06
  2.09207E+01  4.11297E+13  1.59950E+12  1.14800E-02  1.78708E+06  2.88664E+06
  2.11299E+01  4.29258E+13  1.67943E+12  1.18994E-02  1.83125E+06  2.94008E+06
  2.13412E+01  4.48082E+13  1.76349E+12  1.23349E-02  1.87659E+06  2.99492E+06
  2.15547E+01  4.67853E+13  1.85208E+12  1.27890E-02  1.92321E+06  3.05132E+06
  2.17702E+01  4.88662E+13  1.94560E+12  1.32641E-02  1.97124E+06  3.10945E+06
  2.19879E+01  5.10605E+13  2.04450E+12  1.37629E-02  2.02078E+06  3.16948E+06
  2.22078E+01  5.33788E+13  2.14926E+12  1.42881E-02  2.07197E+06  3.23159E+06
  2.24299E+01  5.58325E+13  2.26042E+12  1.48427E-02  2.12494E+06  3.29593E+06
  2.26542E+01  5.84341E+13  2.37856E+12  1.54300E-02  2.17982E+06  3.36272E+06
  2.28807E+01  6.11976E+13  2.50433E+12  1.60534E-02  2.23677E+06  3.43213E+06
  2.31095E+01  6.41385E+13  2.63847E+12  1.67168E-02  2.29595E+06  3.50440E+06
  2.33406E+01  6.70401E+13  2.77211E+12  1.73441E-02  2.35344E+06  3.57352E+06
  2.35740E+01  6.98603E+13  2.90347E+12  1.79098E-02  2.40860E+06  3.63860E+06
  2.38098E+01  7.27220E+13  3.03760E+12  1.84538E-02  2.46366E+06  3.70305E+06
  2.40479E+01  7.56763E+13  3.17666E+12  1.89932E-02  2.51947E+06  3.76817E+06
  2.42883E+01  7.87538E+13  3.32198E+12  1.95379E-02  2.57650E+06  3.83465E+06
  2.45312E+01  8.19776E+13  3.47460E+12  2.00952E-02  2.63507E+06  3.90294E+06
  2.47765E+01  8.53679E+13  3.63545E+12  2.06704E-02  2.69541E+06  3.97340E+06
  2.50243E+01  8.89442E+13  3.80544E+12  2.12684E-02  2.75776E+06  4.04630E+06
  2.52745E+01  9.27264E+13  3.98553E+12  2.18939E-02  2.82230E+06  4.12193E+06
  2.55273E+01  9.67355E+13  4.17671E+12  2.25513E-02  2.88924E+06  4.20055E+06
  2.57826E+01  1.00994E+14  4.38010E+12  2.32452E-02  2.95880E+06  4.28243E+06
  2.60404E+01  1.05528E+14  4.59691E+12  2.39803E-02  3.03119E+06  4.36786E+06
  2.63008E+01  1.10365E+14  4.82850E+12  2.47619E-02  3.10665E+06  4.45714E+06
  2.65638E+01  1.15537E+14  5.07641E+12  2.55957E-02  3.18545E+06  4.55060E+06
  2.68294E+01  1.21078E+14  5.34237E+12  2.64880E-02  3.26787E+06  4.64862E+06
  2.70977E+01  1.27031E+14  5.62835E+12  2.74459E-02  3.35424E+06  4.75161E+06
  2.73687E+01  1.33441E+14  5.93664E+12  2.84775E-02  3.44492E+06  4.86002E+06
  2.76424E+01  1.40362E+14  6.26985E+12  2.95921E-02  3.54032E+06  4.97438E+06
  2.79188E+01  1.47857E+14  6.63103E+12  3.08004E-02  3.64091E+06  5.09528E+06
  2.81980E+01  1.55999E+14  7.02372E+12  3.21148E-02  3.74721E+06  5.22339E+06
  2.84800E+01  1.64238E+14  7.42344E+12  3.34262E-02  3.85240E+06  5.34915E+06
  2.87648E+01  1.73018E+14  7.85024E+12  3.47568E-02  3.96164E+06  5.47975E+06
  2.90524E+01  1.82581E+14  8.31543E+12  3.61515E-02  4.07737E+06  5.61852E+06
  2.93430E+01  1.93018E+14  8.82356E+12  3.76307E-02  4.20014E+06  5.76611E+06
  2.96364E+01  2.04441E+14  9.38012E+12  3.92146E-02  4.33063E+06  5.92338E+06
